,GeoFips,county,state,population,per_capita_income,zip,latitude,longitude
287,11001,District of Columbia,DC,712816,86567,20015,38.97,-77.06
288,11001,District of Columbia,DC,712816,86567,20016,38.94,-77.09
289,11001,District of Columbia,DC,712816,86567,20017,38.94,-76.99
290,11001,District of Columbia,DC,712816,86567,20018,38.93,-76.97
291,11001,District of Columbia,DC,712816,86567,20019,38.89,-76.94
292,11001,District of Columbia,DC,712816,86567,20020,38.86,-76.98
293,11001,District of Columbia,DC,712816,86567,20022,38.91,-76.96
294,11001,District of Columbia,DC,712816,86567,20023,38.9,-77.01
295,11001,District of Columbia,DC,712816,86567,20024,38.89,-77.03
296,11001,District of Columbia,DC,712816,86567,20026,38.89,-77.03
297,11001,District of Columbia,DC,712816,86567,20027,38.9,-76.98
298,11001,District of Columbia,DC,712816,86567,20029,38.89,-77.03
299,11001,District of Columbia,DC,712816,86567,20030,38.89,-77.03
300,11001,District of Columbia,DC,712816,86567,20032,38.83,-77.01
301,11001,District of Columbia,DC,712816,86567,20033,38.89,-77.03
302,11001,District of Columbia,DC,712816,86567,20035,38.89,-77.03
303,11001,District of Columbia,DC,712816,86567,20036,38.91,-77.04
304,11001,District of Columbia,DC,712816,86567,20037,38.9,-77.06
305,11001,District of Columbia,DC,712816,86567,20038,38.89,-77.03
306,11001,District of Columbia,DC,712816,86567,20039,38.89,-77.03
307,11001,District of Columbia,DC,712816,86567,20040,38.89,-77.03
308,11001,District of Columbia,DC,712816,86567,20041,38.89,-77.03
309,11001,District of Columbia,DC,712816,86567,20042,38.89,-77.03
310,11001,District of Columbia,DC,712816,86567,20043,38.89,-77.03
311,11001,District of Columbia,DC,712816,86567,20044,38.89,-77.03
312,11001,District of Columbia,DC,712816,86567,20045,38.9,-77.03
313,11001,District of Columbia,DC,712816,86567,20046,38.89,-77.03
314,11001,District of Columbia,DC,712816,86567,20047,38.89,-77.03
315,11001,District of Columbia,DC,712816,86567,20049,38.89,-77.03
316,11001,District of Columbia,DC,712816,86567,20050,38.89,-77.03
317,11001,District of Columbia,DC,712816,86567,20051,38.89,-77.03
