,GeoFips,per_capita_income
1117,21199,41989
1118,21201,39137
1119,21203,35809
1120,21205,34561
1121,21207,40672
1122,21209,47509
1123,21211,50602
1124,21213,42537
1125,21215,49066
1126,21217,39488
1127,21219,41672
1128,21221,41497
1129,21223,44227
1130,21225,41157
1131,21227,40705
1132,21229,41902
1133,21231,33258
1134,21233,42496
1135,21235,38256
1136,21237,36449
1137,21239,54911
1138,22001,40916
1139,22003,37054
1140,22005,54395
1141,22007,51585
1142,22009,41977
1143,22011,47003
1144,22013,42372
1145,22015,48907
1146,22017,55047
1147,22019,50994
1148,22021,38705
1149,22023,49224
1150,22025,39357
1151,22027,36281
1152,22029,38891
1153,22031,45615
1154,22033,56484
1155,22035,41875
1156,22037,44787
1157,22039,37820
1158,22041,37754
1159,22043,34870
1160,22045,44242
1161,22047,46461
1162,22049,37665
1163,22051,55373
1164,22053,45620
1165,22055,52507
1166,22057,48741
1167,22059,36116
1168,22061,44944
1169,22063,45620
1170,22065,38337
1171,22067,44187
1172,22069,43702
1173,22071,57421
1174,22073,45661
1175,22075,51456
1176,22077,52332
1177,22079,50226
1178,22081,45680
1179,22083,42644
1180,22085,38190
1181,22087,36093
1182,22089,53148
1183,22091,48743
1184,22093,56880
1185,22095,45927
1186,22097,46131
1187,22099,42203
1188,22101,45760
1189,22103,70190
1190,22105,41792
1191,22107,44043
1192,22109,45942
1193,22111,43609
1194,22113,42526
1195,22115,45320
1196,22117,38515
1197,22119,45088
1198,22121,51758
1199,22123,37148
1200,22125,41145
1201,22127,41491
1202,23001,46357
1203,23003,47605
1204,23005,68237
1205,23007,43276
1206,23009,55393
1207,23011,50469
1208,23013,54363
1209,23015,54300
1210,23017,42327
1211,23019,47315
1212,23021,42527
1213,23023,55965
1214,23025,43134
1215,23027,47495
1216,23029,45558
1217,23031,58038
1218,24001,43970
1219,24003,72197
1220,24005,66585
1221,24009,66469
1222,24011,48393
1223,24013,66901
1224,24015,51853
1225,24017,61324
1226,24019,49921
1227,24021,66664
1228,24023,48630
1229,24025,63432
1230,24027,81969
1231,24029,64331
1232,24031,89552
1233,24033,54195
1234,24035,67861
1235,24037,61144
1236,24039,32531
1237,24041,76528
1238,24043,50493
1239,24045,44184
1240,24047,59881
1241,24510,54097
1242,25001,80420
1243,25003,61872
1244,25005,61031
1245,25007,89757
1246,25009,74519
1247,25011,59853
1248,25013,57821
1249,25015,57030
1250,25017,90688
1251,25019,114832
1252,25021,98019
1253,25023,74034
1254,25025,90571
1255,25027,63286
1256,26001,44953
1257,26003,37951
1258,26005,50091
1259,26007,45685
1260,26009,52490
1261,26011,43466
1262,26013,38750
1263,26015,49232
1264,26017,47786
1265,26019,50509
1266,26021,52395
1267,26023,42356
1268,26025,44729
1269,26027,50365
1270,26029,57289
1271,26031,44801
1272,26033,39693
1273,26035,38655
1274,26037,51053
1275,26039,39405
1276,26041,45260
1277,26043,53526
1278,26045,47407
1279,26047,62918
1280,26049,46152
1281,26051,40772
1282,26053,47894
1283,26055,56861
1284,26057,42067
1285,26059,39404
1286,26061,42884
1287,26063,53638
1288,26065,44957
1289,26067,39366
1290,26069,43618
1291,26071,49153
1292,26073,40021
1293,26075,44889
1294,26077,52403
1295,26079,41545
1296,26081,57397
1297,26083,51972
1298,26085,39507
1299,26087,49441
1300,26089,73238
1301,26091,44821
